588,,Status,,,,5,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,true,Gen7KingShieldMinusOne,SPECIAL ACTIVE: King's Shield / Escudo Real: Attack -1
148,Electric,Status,,,70,5,,,,,,,177,Paralyze,100,,,,,AllFoes,,,,,Evasion,-1,100,,,,,,,,,,,,,,,"SPECIAL CHECK: Destello / Flash: Electric, all foes, paralysis + -1 evasion, Param0x0B=0xB1"
346,,Status,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECIAL CHECK: Hidrochorro / Water Sport: Fire damage reduction parameter to 100
300,,Status,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECIAL CHECK: Chapoteo Lodo / Mud Sport: Electric damage reduction parameter to 100
381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen7LuckyChantCritBoost,Conjuro / Lucky Chant: Battle.cro v17 only; preserve vanilla move data; protected side +1 critical stage; duration 8 turns
293,,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Camuflaje / Camouflage: Z-Move bonus +1 Attack, Defense, Sp. Atk, Sp. Def and Speed (ZEffect 22); normal Camouflage unchanged",22
54,,Status,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen7MistOwnerActiveV5762,Neblina / Mist: +3 priority; remains active while the original user stays active; ally switching does not end it; owner switch/faint ends it; immediate recast transfers ownership; Mist itself gives no critical-stage boost,
108,,Status,13,,,,0,,,,,111,,,,,,,,Single,true,,,,,,,,,,,,,,,,,,,,Gen7SmokescreenV82,Pantalla de Humo / Smokescreen: first-active-turn self-protection + selected target Accuracy -1; doubles-safe private descriptors (v8.2)
277,,Status,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,SPECIAL CHECK: Capa Magica / Magic Coat: 3 turns if effect reads turn fields
96,,Status,13,,,,,,,,,399,,None,0,0,,,,Single,true,,,,,,,,,,,,,,,,,,,,Gen7MeditateV73,Meditacion / Meditate: target status cleanse +1 Attack (v7.3)
563,Ground,Status,,0,101,10,,,,,,339,,,,25,,,,,true,,,,,,,,,,,,,,,,,,,,,"SPECIAL CHECK: Fertilizante / Rototiller: heal 25%, no stat boosts"
587,Fairy,Status,13,,,,,,,,,294,,,,,,,,AllPokemon,,,,,,,,,,,,,,,,,,,,,Gen7FairyLockAllFairyV11,Cerrojo Feerico / Fairy Lock: all active Pokemon become pure Fairy (v11)

193,,Status,,,,,,,,,,,,,,,,,,Self,true,,,,,,,Attack,1,100,Defense,1,100,Speed,1,100,,,,,,"Profecia / Foresight: self-target; +1 Attack, +1 Defense and +1 Speed",
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen7NightmareSleepV76,Pesadilla / Nightmare: target awake -> stock Sleep only; target already asleep -> vanilla Nightmare.,
